"clarity","city","color","cut","x","y","z","depth","table","price","carat"
SI1,Kimberly,H,Very Good,5.67,5.72,3.47,60.9,62.0,2066,0.7
SI1,Paris,F,Premium,6.39,6.35,3.86,60.6,62.0,4480,0.96
SI1,Amsterdam,G,Premium,6.34,6.28,3.85,61.0,59.0,4062,0.93
VS2,Paris,J,Very Good,8.27,8.16,5.16,62.8,57.0,14065,2.14
SI1,Zurich,E,Ideal,5.86,5.91,3.52,59.8,57.0,2265,0.72
VS2,London,J,Ideal,8.2,8.16,5.09,62.2,56.0,11500,2.07
SI2,Las Vegas,F,Ideal,6.27,6.32,3.87,61.5,56.0,3763,0.92
VS2,Kimberly,F,Very Good,4.64,4.68,2.89,61.9,54.6,906,0.38
VS2,Antwerp,J,Ideal,6.09,6.12,3.73,61.1,57.0,2709,0.84
VS2,Surat,H,Very Good,4.42,4.46,2.75,61.9,60.0,537,0.34
VVS2,Surat,D,Ideal,6.53,6.48,3.94,60.6,56.0,10797,1.01
SI1,Kimberly,H,Premium,5.72,5.67,3.47,60.9,62.0,2176,0.7
SI2,Kimberly,D,Premium,4.35,4.31,2.69,62.1,59.0,593,0.31
VVS2,Tel Aviv,H,Ideal,6.69,6.72,4.15,61.9,56.0,7354,1.14
SI1,Kimberly,E,Premium,6.57,6.5,4.04,61.8,56.0,5821,1.05
SI2,Kimberly,H,Fair,8.09,8.01,5.19,64.5,58.0,13370,2.13
VS1,Kimberly,E,Premium,4.37,4.3,2.61,60.2,57.0,814,0.3
SI1,Dubai,E,Good,4.24,4.22,2.69,63.6,57.0,675,0.3
SI1,Amsterdam,D,Premium,4.76,4.74,2.95,62.1,59.0,1015,0.41
VS1,Kimberly,G,Ideal,5.1,5.08,3.19,62.7,56.0,1781,0.51
VVS1,Kimberly,D,Very Good,4.92,4.97,3.05,61.6,59.0,1993,0.46
VS2,Paris,D,Ideal,6.9,6.85,4.3,62.5,57.0,8256,1.26
VS2,Surat,I,Good,4.96,5.01,2.89,58.0,57.0,696,0.43
VVS1,Antwerp,G,Premium,6.39,6.36,3.96,62.1,59.0,8005,1.02
SI2,Kimberly,F,Ideal,5.73,5.67,3.51,61.6,56.0,2168,0.71
VS2,New York City,H,Premium,7.1,7.06,4.32,61.0,58.0,8106,1.31
IF,Dubai,H,Ideal,4.55,4.58,2.8,61.5,57.0,868,0.35
IF,Kimberly,G,Ideal,5.54,5.61,3.35,60.3,57.0,3378,0.62
SI1,London,E,Ideal,5.27,5.23,3.18,60.6,57.0,1607,0.53
VS2,Antwerp,D,Ideal,4.45,4.48,2.76,61.8,56.0,781,0.33
SI2,Paris,G,Premium,9.44,9.37,5.62,59.8,58.0,14220,3.01
VS2,Kimberly,G,Premium,4.83,4.86,2.96,61.1,59.0,867,0.43
SI1,Tel Aviv,H,Ideal,6.0,6.02,3.73,62.1,54.0,2435,0.81
VS2,London,F,Premium,4.56,4.51,2.81,62.0,59.0,807,0.36
SI1,Antwerp,J,Ideal,6.8,6.74,4.27,63.1,58.0,4959,1.23
SI1,Tel Aviv,J,Good,5.61,5.66,3.47,61.5,62.0,1755,0.71
SI1,Zurich,D,Good,5.79,5.93,3.4,58.0,60.0,2525,0.7
VS2,Antwerp,D,Ideal,4.99,5.03,3.1,61.9,56.0,1319,0.47
SI2,Madrid,D,Premium,7.32,7.23,4.51,62.0,55.0,8683,1.46
VS1,Kimberly,G,Very Good,4.25,4.27,2.68,62.9,55.0,620,0.3
VS2,Madrid,H,Good,6.38,6.34,4.08,64.2,55.0,4839,1.01
SI1,Madrid,H,Ideal,6.87,6.84,4.11,60.0,60.0,5852,1.16
VVS2,Madrid,I,Ideal,4.17,4.2,2.6,62.1,55.0,459,0.27
VS1,Kimberly,H,Ideal,5.82,5.84,3.62,62.1,55.0,3254,0.74
VS2,Zurich,G,Very Good,7.28,7.31,4.59,62.9,60.0,12038,1.52
VS2,London,H,Good,6.53,6.45,3.87,59.6,64.0,4909,1.01
SI1,Amsterdam,D,Good,6.62,6.5,3.78,57.6,62.0,4155,1.0
SI1,Antwerp,E,Ideal,5.77,5.73,3.47,60.5,56.0,2823,0.71
VS2,London,D,Good,5.81,5.73,3.39,58.0,65.0,3073,0.7
SI2,Surat,E,Ideal,5.13,5.15,3.15,61.3,61.0,1128,0.51
VS1,Zurich,E,Premium,6.44,6.41,3.98,61.9,60.0,7392,1.0
SI1,London,H,Ideal,4.92,4.9,2.99,60.9,57.0,1069,0.44
VS1,Kimberly,D,Ideal,5.85,5.81,3.56,61.1,57.0,3509,0.73
VVS2,New York City,G,Very Good,4.88,4.81,2.87,59.2,63.0,945,0.4
SI1,Antwerp,H,Ideal,8.11,8.08,5.03,62.1,56.0,14725,2.01
VS2,Las Vegas,F,Ideal,4.45,4.47,2.77,62.1,56.0,686,0.34
VS2,Surat,F,Ideal,5.3,5.34,3.24,60.9,57.0,1702,0.55
SI1,Kimberly,H,Ideal,4.45,4.49,2.73,61.0,55.0,511,0.33
VS1,New York City,G,Fair,6.31,6.26,4.05,64.4,56.0,5908,1.0
SI2,Kimberly,D,Ideal,6.21,6.15,3.85,62.2,57.0,2803,0.91
VS2,Surat,F,Premium,5.73,5.71,3.55,62.1,57.0,2724,0.72
SI1,Dubai,E,Ideal,5.3,5.33,3.28,61.7,56.0,1580,0.56
VS2,Kimberly,H,Ideal,5.89,5.94,3.61,60.9,56.0,3332,0.77
I1,Luxembourg,F,Good,5.75,5.69,3.28,57.3,64.0,1140,0.64
SI1,Kimberly,I,Premium,6.99,6.94,4.24,60.9,58.0,5504,1.26
SI2,Antwerp,F,Very Good,5.99,6.02,3.72,61.9,56.0,2939,0.83
SI2,London,F,Ideal,5.75,5.68,3.52,61.6,57.0,2074,0.72
VS2,Tel Aviv,H,Premium,7.04,6.97,4.25,60.7,58.0,7496,1.27
IF,Amsterdam,J,Very Good,4.47,4.53,2.74,60.9,54.0,529,0.33
VS2,Luxembourg,H,Ideal,5.11,5.13,3.15,61.5,56.0,1626,0.5
VS2,Zurich,I,Premium,5.78,5.74,3.62,62.8,61.0,2175,0.76
VS2,Dubai,J,Ideal,6.98,6.94,4.15,59.6,57.0,4968,1.21
VS1,Kimberly,G,Fair,4.97,4.91,3.31,67.0,61.0,1280,0.5
VS2,Paris,E,Ideal,5.11,5.08,3.13,61.4,57.0,1746,0.5
VS2,Amsterdam,G,Good,5.38,5.42,3.3,61.2,62.8,1821,0.61
SI2,New York City,F,Premium,6.13,6.1,3.76,61.5,57.0,2661,0.87
SI1,Antwerp,F,Premium,4.77,4.81,2.92,61.0,60.0,755,0.41
VVS1,Zurich,F,Ideal,4.26,4.29,2.61,61.1,57.0,715,0.29
VS2,London,E,Ideal,4.36,4.38,2.71,62.0,55.0,702,0.32
SI2,Antwerp,J,Premium,8.21,8.16,5.1,62.3,61.0,12140,2.12
VVS1,Surat,H,Very Good,4.23,4.28,2.55,59.9,62.0,504,0.28
VS2,Kimberly,G,Premium,7.44,7.4,4.59,61.9,58.0,13299,1.56
VS1,Las Vegas,H,Ideal,4.3,4.32,2.67,61.9,58.0,545,0.3
VS1,Tel Aviv,I,Premium,4.29,4.33,2.7,62.6,59.0,489,0.31
VS1,Madrid,J,Good,4.29,4.27,2.72,63.6,52.0,506,0.3
SI2,Las Vegas,F,Ideal,4.41,4.37,2.75,62.6,56.0,540,0.32
SI1,Surat,G,Ideal,6.42,6.38,3.99,62.3,56.0,5006,1.01
VS2,Amsterdam,G,Very Good,6.69,6.74,4.24,63.1,57.0,7371,1.2
VS2,Dubai,I,Good,4.6,4.61,2.87,62.3,61.0,648,0.39
VS2,Luxembourg,D,Very Good,4.29,4.32,2.67,62.0,58.0,710,0.3
VS2,Luxembourg,J,Very Good,5.13,5.1,3.23,63.1,56.0,1080,0.51
SI2,Antwerp,G,Ideal,5.35,5.37,3.3,61.6,54.0,1193,0.57
VVS1,Las Vegas,E,Ideal,4.33,4.36,2.68,61.7,56.0,924,0.31
VS2,New York City,D,Ideal,4.5,4.55,2.83,62.5,55.0,829,0.35
VS1,Amsterdam,I,Very Good,4.58,4.61,2.8,60.9,61.0,568,0.36
VS1,Zurich,F,Ideal,4.32,4.36,2.68,61.8,53.0,621,0.3
SI1,Kimberly,H,Ideal,6.83,6.86,4.26,62.2,54.0,6727,1.22
I1,Surat,H,Fair,6.13,5.96,4.08,67.4,62.0,1808,0.96
VS2,Tel Aviv,E,Very Good,6.61,6.51,3.88,59.1,60.0,6762,1.02
VVS2,Paris,H,Ideal,7.32,7.3,4.59,62.8,56.0,12764,1.52
VVS2,Antwerp,D,Ideal,4.71,4.77,2.86,60.3,57.0,992,0.38
VS2,Kimberly,H,Very Good,6.1,6.17,3.82,62.3,59.0,4328,0.9
VVS2,Luxembourg,D,Ideal,5.41,5.45,3.38,62.2,54.0,3397,0.61
SI1,Surat,I,Good,7.17,7.2,4.59,63.9,63.0,7233,1.51
VS1,Zurich,G,Good,4.28,4.29,2.71,63.2,56.0,625,0.31
VS1,Madrid,G,Ideal,6.46,6.51,4.01,61.8,56.0,7880,1.03
SI1,Las Vegas,D,Very Good,4.64,4.7,2.94,63.0,57.0,717,0.41
SI1,Dubai,D,Premium,4.36,4.33,2.72,62.6,58.0,756,0.32
VVS2,Surat,I,Very Good,4.52,4.54,2.78,61.3,56.0,620,0.35
SI1,Amsterdam,G,Very Good,6.66,6.71,4.16,62.2,59.0,5587,1.15
SI2,Antwerp,D,Good,6.29,6.34,4.06,64.3,53.0,3894,1.0
SI2,Antwerp,D,Ideal,4.4,4.37,2.64,60.2,56.0,574,0.3
SI1,Surat,G,Premium,6.34,6.39,3.98,62.5,60.0,4588,1.01
VS2,Antwerp,H,Ideal,4.38,4.34,2.73,62.6,57.0,628,0.31
SI2,Tel Aviv,H,Very Good,5.78,5.75,3.64,63.1,56.0,2264,0.74
VVS2,Tel Aviv,E,Ideal,4.39,4.42,2.74,62.2,53.0,816,0.32
SI2,Antwerp,G,Very Good,7.54,7.57,4.72,62.5,57.0,9556,1.63
SI1,Tel Aviv,E,Ideal,6.49,6.53,4.02,61.8,56.0,7208,1.04
SI2,Tel Aviv,D,Very Good,4.49,4.52,2.84,63.0,59.0,501,0.36
SI1,Dubai,I,Ideal,6.4,6.36,3.99,62.5,56.0,5020,1.01
VS2,Madrid,D,Very Good,5.12,5.16,3.14,61.1,59.0,1787,0.51
VS2,Antwerp,H,Ideal,8.01,7.97,5.0,62.6,57.0,14182,2.02
VVS2,Surat,G,Ideal,5.29,5.24,3.18,60.4,56.0,2051,0.53
SI1,London,J,Premium,7.13,7.0,4.37,61.9,56.0,5290,1.28
SI1,Las Vegas,F,Premium,5.22,5.2,3.22,61.8,60.0,1330,0.54
SI2,Dubai,E,Very Good,5.64,5.67,3.54,62.6,57.0,2514,0.7
VVS2,London,G,Ideal,5.23,5.27,3.25,61.9,56.0,2022,0.55
VVS1,Kimberly,H,Ideal,4.31,4.28,2.68,62.4,53.0,878,0.3
VS2,Antwerp,F,Ideal,5.12,5.08,3.21,62.9,55.0,1736,0.5
SI2,Surat,D,Premium,6.5,6.4,4.03,62.3,58.0,3675,1.03
VS2,New York City,D,Ideal,5.26,5.2,3.2,61.2,57.0,1956,0.53
VS2,Amsterdam,E,Premium,5.48,5.46,3.37,61.6,62.0,1926,0.64
VS2,Antwerp,G,Ideal,6.85,6.83,4.22,61.7,56.0,6478,1.21
VVS1,Zurich,G,Ideal,4.69,4.73,2.92,61.8,54.4,1008,0.39
SI1,Amsterdam,D,Ideal,4.43,4.39,2.77,62.8,56.0,780,0.33
SI2,Las Vegas,D,Premium,4.78,4.74,2.85,59.9,60.0,855,0.4
SI1,Kimberly,D,Ideal,6.9,6.87,4.26,61.9,56.0,6805,1.24
VS2,New York City,I,Ideal,4.45,4.48,2.74,61.4,56.0,480,0.33
SI1,Madrid,E,Good,5.03,4.97,3.2,64.0,56.0,1155,0.5
VS2,Antwerp,F,Premium,4.37,4.34,2.65,60.8,60.0,802,0.31
SI1,Antwerp,D,Ideal,6.23,6.16,3.76,60.7,57.0,4304,0.9
SI1,Kimberly,I,Premium,4.54,4.51,2.79,61.7,56.0,589,0.34
VVS2,Surat,H,Ideal,4.82,4.85,3.01,62.3,55.0,943,0.43
VS2,Las Vegas,F,Ideal,4.18,4.2,2.59,61.8,53.0,583,0.27
SI1,London,H,Ideal,6.78,6.82,4.18,61.5,57.0,6440,1.18
VVS2,Antwerp,G,Ideal,4.36,4.39,2.72,62.2,53.0,647,0.31
VVS2,Las Vegas,F,Good,4.13,4.18,2.51,60.4,61.0,517,0.26
SI1,Luxembourg,F,Very Good,5.73,5.78,3.49,60.6,58.0,2231,0.7
SI2,Antwerp,D,Good,6.35,6.33,4.03,63.6,61.0,3959,1.01
VS2,New York City,H,Premium,7.45,7.4,4.62,62.2,58.0,11415,1.57
VS2,Surat,F,Ideal,4.57,4.6,2.82,61.5,55.0,629,0.36
VS2,London,F,Premium,5.47,5.36,3.35,61.9,57.0,2036,0.58
VVS1,Luxembourg,E,Ideal,4.72,4.67,2.93,62.4,57.0,1397,0.4
VVS1,Tel Aviv,H,Good,4.28,4.32,2.72,63.3,58.0,707,0.31
VVS2,Antwerp,D,Ideal,5.15,5.17,3.22,62.4,56.0,2362,0.52
VVS2,Surat,H,Ideal,4.85,4.82,3.01,62.3,55.0,1008,0.43
SI2,Kimberly,G,Very Good,5.96,5.92,3.75,63.1,61.0,2259,0.83
VS2,New York City,F,Good,6.67,6.71,4.26,63.7,58.0,7911,1.21
VS1,Kimberly,F,Very Good,5.68,5.7,3.61,63.4,57.0,3264,0.72
SI1,Tel Aviv,I,Good,4.66,4.7,2.99,63.9,57.0,596,0.4
VS2,Zurich,H,Premium,4.62,4.58,2.76,60.0,62.0,729,0.36
VVS2,Luxembourg,I,Ideal,4.43,4.41,2.76,62.4,56.0,743,0.33
VS2,Antwerp,I,Ideal,8.13,8.17,5.1,62.5,56.0,17999,2.09
VS2,Amsterdam,F,Ideal,5.29,5.32,3.27,61.6,55.0,1723,0.56
SI2,Zurich,F,Ideal,4.77,4.74,2.94,61.8,53.0,688,0.4
VS1,London,F,Ideal,7.47,7.52,4.65,62.0,56.0,18780,1.6
SI1,Surat,D,Ideal,4.28,4.31,2.65,61.7,57.0,524,0.3
SI1,Madrid,G,Ideal,5.19,5.14,3.18,61.6,56.0,1281,0.51
VS1,Madrid,D,Very Good,4.17,4.24,2.52,59.9,58.0,470,0.27
SI2,London,J,Premium,8.32,8.37,5.01,60.0,60.0,13092,2.09
SI1,Tel Aviv,J,Premium,5.75,5.73,3.52,61.3,59.0,1827,0.7
VS2,Kimberly,G,Very Good,5.05,5.12,3.19,62.7,57.0,1438,0.51
VVS1,Surat,F,Very Good,4.32,4.35,2.72,62.7,60.0,926,0.32
VS2,Paris,E,Premium,4.43,4.4,2.7,61.2,59.0,900,0.32
SI2,Antwerp,G,Ideal,6.55,6.59,4.05,61.7,57.0,4421,1.07
VS2,Antwerp,I,Good,6.57,6.63,4.21,63.8,55.0,4766,1.12
VS1,London,I,Ideal,6.87,6.84,4.41,64.3,59.0,6573,1.31
SI1,Antwerp,E,Ideal,6.43,6.38,4.01,62.6,57.0,5599,1.01
VS1,Antwerp,F,Good,5.99,5.92,3.8,63.8,56.0,3750,0.9
VS2,Kimberly,F,Ideal,6.59,6.56,3.97,60.4,56.0,6467,1.03
VS1,Zurich,I,Ideal,7.75,7.54,4.76,63.0,55.0,12030,1.7
VVS1,Antwerp,E,Good,3.87,3.9,2.5,64.4,57.0,472,0.23
VS2,New York City,G,Premium,4.75,4.7,2.97,62.9,59.0,1061,0.41
SI1,Paris,H,Premium,6.91,6.85,4.28,62.2,57.0,6783,1.25
VS2,Las Vegas,D,Very Good,5.09,5.18,3.14,61.1,58.0,1565,0.5
SI1,Madrid,H,Very Good,5.64,5.67,3.52,62.2,56.0,2107,0.7
VS1,Antwerp,I,Ideal,5.72,5.76,3.52,61.5,56.0,2965,0.71
SI1,Zurich,D,Very Good,4.62,4.66,2.79,60.1,57.0,663,0.36
VS2,Kimberly,E,Premium,6.43,6.43,3.89,60.0,60.0,6720,1.0
SI1,Kimberly,D,Very Good,6.59,6.7,4.0,60.5,56.0,5821,1.05
VS2,Luxembourg,F,Premium,5.85,5.87,3.64,62.1,59.0,3218,0.77
VVS2,Paris,G,Premium,4.5,4.43,2.72,60.9,57.0,965,0.33
VVS2,Las Vegas,E,Premium,4.81,4.82,2.93,60.9,60.0,1187,0.41
SI1,Amsterdam,G,Ideal,5.97,6.02,3.73,62.2,57.0,3192,0.81
VS2,Kimberly,D,Ideal,5.11,5.14,3.17,61.9,56.0,1787,0.51
SI2,Madrid,G,Premium,7.21,7.14,4.25,59.2,61.0,4373,1.32
SI1,London,H,Ideal,5.06,5.1,3.11,61.2,56.0,927,0.48
SI1,Tel Aviv,F,Good,6.12,6.15,3.87,63.1,57.0,3724,0.9
SI2,Paris,I,Premium,8.11,8.04,4.94,61.2,58.0,13117,2.02
SI2,Surat,D,Very Good,6.45,6.5,3.92,60.5,58.0,4799,1.01
SI1,Antwerp,H,Ideal,7.08,7.01,4.22,59.8,57.0,7297,1.27
VS2,Luxembourg,G,Premium,4.76,4.72,2.96,62.4,58.0,1061,0.41
SI1,Surat,E,Good,5.09,5.05,3.24,63.9,54.0,1443,0.51
VVS2,Kimberly,D,Very Good,6.11,6.22,3.87,62.8,58.0,7150,0.92
I1,Madrid,E,Very Good,6.47,6.52,3.92,60.4,62.0,3455,1.02
VS2,Dubai,I,Ideal,4.85,4.89,3.01,61.8,55.0,716,0.43
VS2,Surat,G,Very Good,4.54,4.6,2.75,60.2,60.0,658,0.35
VS1,Kimberly,G,Very Good,4.45,4.48,2.71,60.8,56.0,660,0.32
SI2,Surat,F,Very Good,5.63,5.68,3.51,62.1,57.0,1940,0.7
SI1,Zurich,F,Very Good,7.4,7.38,4.66,63.1,56.0,11957,1.55
IF,Paris,E,Very Good,5.31,5.38,3.2,59.9,60.0,2724,0.56
SI1,Surat,I,Very Good,6.0,6.04,3.63,60.3,58.0,2701,0.81
VS2,Dubai,E,Premium,7.53,7.46,4.46,59.5,58.0,14386,1.5
VS1,Las Vegas,F,Very Good,4.62,4.66,2.77,59.9,58.6,825,0.36
VS2,Madrid,G,Premium,6.46,6.36,3.95,61.6,61.0,5864,1.01
VS2,Dubai,E,Good,5.22,5.27,3.27,62.3,63.0,1920,0.56
VVS2,Amsterdam,E,Ideal,6.53,6.6,4.02,61.3,56.0,10222,1.07
SI1,Kimberly,F,Ideal,5.78,5.85,3.55,61.0,55.0,2920,0.72
VS2,Las Vegas,H,Ideal,5.85,5.88,3.64,61.9,55.0,3016,0.76
VS2,Tel Aviv,I,Ideal,6.63,6.59,4.07,61.6,56.0,5000,1.08
SI2,Antwerp,F,Premium,6.68,6.56,4.12,62.1,56.0,3918,1.1
SI2,London,G,Premium,6.47,6.4,3.98,61.8,58.0,3496,1.02
SI1,Madrid,H,Ideal,5.1,5.14,3.14,61.3,57.0,1161,0.51
VVS1,Amsterdam,F,Ideal,4.34,4.37,2.64,58.0,60.0,802,0.3
VS2,New York City,G,Premium,6.67,6.64,4.0,60.1,58.0,6325,1.06
SI1,Surat,D,Very Good,5.69,5.73,3.61,63.2,56.0,2652,0.71
VS2,Kimberly,I,Ideal,4.62,4.66,2.84,61.2,56.0,603,0.37
VVS1,Tel Aviv,G,Ideal,7.01,6.91,4.32,62.1,57.0,10916,1.26
SI1,Las Vegas,G,Ideal,5.25,5.28,3.25,61.7,55.0,1605,0.55
VS1,Zurich,F,Ideal,5.74,5.71,3.55,62.0,55.0,2751,0.7
SI2,Madrid,F,Ideal,8.07,8.03,5.01,62.2,57.0,16256,2.02
SI1,Kimberly,G,Very Good,4.82,4.85,2.93,60.6,62.0,687,0.42
SI1,Amsterdam,D,Good,6.48,6.5,3.79,58.4,62.0,5700,1.01
VS2,Paris,E,Very Good,5.62,5.66,3.58,63.5,54.0,2889,0.7
SI1,New York City,F,Ideal,5.7,5.75,3.54,61.8,53.0,2635,0.7
SI2,Madrid,D,Ideal,5.78,5.81,3.5,60.4,56.0,2551,0.7
SI1,Antwerp,F,Ideal,7.44,7.41,4.57,61.5,55.0,12477,1.52
SI2,Kimberly,G,Ideal,5.87,5.9,3.63,61.7,55.0,2553,0.76
VVS2,Tel Aviv,F,Ideal,4.66,4.7,2.85,60.9,58.0,954,0.38
SI2,Surat,F,Very Good,5.17,5.18,3.27,63.2,55.0,1110,0.53
VS1,Amsterdam,F,Very Good,5.13,5.15,3.21,62.5,54.0,1751,0.51
IF,Kimberly,I,Very Good,5.29,5.35,3.13,58.8,61.0,1708,0.54
VS1,Amsterdam,G,Ideal,6.9,6.84,4.22,61.4,56.0,8985,1.21
SI2,Paris,H,Premium,6.69,6.6,4.13,62.2,58.0,4620,1.1
SI1,London,H,Very Good,5.68,5.71,3.59,63.0,58.0,2198,0.72
VS1,New York City,J,Premium,7.39,7.36,4.51,61.2,59.0,8366,1.52
VS2,Tel Aviv,G,Premium,6.19,6.14,3.82,62.0,60.0,4137,0.9
SI2,Antwerp,D,Premium,4.58,4.54,2.7,59.2,59.0,650,0.34
SI1,Kimberly,I,Very Good,8.16,8.08,5.1,62.9,54.0,17323,2.04
SI2,Antwerp,G,Premium,6.56,6.5,3.91,59.9,60.0,4413,1.03
SI2,Surat,E,Ideal,5.72,5.79,3.6,62.6,55.0,3129,0.75
SI2,Surat,J,Ideal,6.87,6.79,4.21,61.7,56.0,4744,1.2
SI1,Antwerp,H,Ideal,6.21,6.25,3.84,61.6,56.0,4587,0.92
VS2,Amsterdam,G,Premium,4.47,4.43,2.73,61.3,61.0,693,0.33
VVS1,Dubai,F,Premium,5.48,5.4,3.36,61.8,59.0,2753,0.61
SI2,Las Vegas,F,Ideal,6.49,6.46,3.99,61.6,55.0,4769,1.03
SI2,Madrid,H,Ideal,7.53,7.55,4.64,61.5,55.0,8779,1.6
VS2,Madrid,F,Ideal,4.6,4.62,2.81,61.0,57.0,875,0.36
IF,Surat,D,Ideal,6.49,6.52,4.02,61.8,57.0,14494,1.04
SI2,Zurich,G,Ideal,6.39,6.47,4.02,62.4,54.0,4501,1.02
SI1,New York City,H,Very Good,6.55,6.49,4.14,63.5,55.0,4682,1.1
VS1,Madrid,F,Ideal,5.3,5.33,3.28,61.7,56.0,1915,0.56
VVS2,Kimberly,E,Premium,4.37,4.34,2.63,60.4,59.0,1046,0.31
VS2,Luxembourg,F,Ideal,4.81,4.8,2.92,60.8,56.0,1107,0.41
VVS1,Surat,G,Ideal,7.06,7.01,4.3,61.1,57.0,11247,1.31
VS2,Paris,I,Very Good,4.92,4.98,3.13,63.2,56.0,935,0.47
VS1,Paris,J,Ideal,5.72,5.77,3.54,61.6,57.0,1657,0.7
VS1,Amsterdam,H,Good,4.49,4.45,2.86,64.0,58.0,689,0.34
VVS1,Surat,G,Ideal,4.41,4.43,2.61,59.0,62.0,755,0.31
VS2,Madrid,F,Very Good,5.65,5.7,3.58,63.1,58.0,2588,0.71
VVS1,Antwerp,D,Very Good,4.22,4.24,2.55,60.3,62.0,596,0.28
VVS1,Luxembourg,H,Ideal,4.36,4.39,2.69,61.5,54.0,707,0.31
VS2,Dubai,J,Ideal,6.59,6.64,4.13,62.4,55.0,4537,1.1
VS1,Antwerp,E,Premium,4.28,4.33,2.64,61.3,59.0,710,0.3
VS2,Antwerp,H,Premium,4.62,4.57,2.74,59.6,62.0,709,0.35
VVS2,Dubai,H,Ideal,4.33,4.34,2.65,61.0,55.0,577,0.3
VS1,Las Vegas,H,Ideal,7.69,7.61,4.77,62.4,55.0,13949,1.7
VS2,Antwerp,E,Ideal,5.22,5.17,3.14,60.4,57.0,1694,0.52
VS1,Dubai,G,Very Good,6.66,6.7,4.11,61.5,57.6,7503,1.11
VS2,Amsterdam,H,Ideal,8.34,8.22,5.01,60.5,56.0,13320,2.0
SI1,Zurich,E,Premium,6.52,6.43,3.91,60.3,62.0,4435,1.0
IF,Kimberly,G,Very Good,5.29,5.38,3.21,60.2,60.0,2314,0.55
VS2,Surat,F,Premium,5.71,5.75,3.59,62.7,59.0,2584,0.72
VS2,Dubai,G,Ideal,6.44,6.52,4.0,61.7,56.0,6648,1.02
VVS2,Antwerp,G,Ideal,5.15,5.13,3.11,60.5,55.0,1935,0.5
SI1,Antwerp,F,Very Good,5.62,5.69,3.6,63.7,55.0,2192,0.7
SI1,Surat,G,Good,6.22,6.27,3.99,63.9,60.0,4737,1.0
SI2,Antwerp,D,Premium,7.9,7.86,4.7,59.6,58.0,13867,1.76
SI1,Antwerp,J,Good,5.63,5.58,3.36,59.9,64.0,1134,0.63
SI1,Amsterdam,G,Ideal,6.5,6.47,4.0,61.7,56.0,5241,1.03
VS2,Antwerp,E,Ideal,5.09,5.12,3.14,61.5,57.0,1656,0.51
SI1,Luxembourg,E,Ideal,5.19,5.16,3.19,61.6,55.0,1577,0.52
VVS2,Surat,E,Ideal,5.19,5.23,3.24,62.2,54.0,2273,0.53
SI1,Kimberly,J,Very Good,7.99,8.02,4.93,61.6,60.0,12084,2.01
VS2,London,H,Premium,7.05,7.02,4.38,62.3,60.0,7816,1.34
VVS2,Surat,G,Ideal,4.33,4.29,2.68,62.2,55.0,878,0.3
VS2,Surat,F,Ideal,5.37,5.33,3.32,62.1,56.0,1790,0.58
SI2,Zurich,F,Premium,8.16,8.18,5.07,62.1,59.0,16357,2.1
SI1,Surat,I,Very Good,6.54,6.59,4.07,62.0,59.0,4537,1.1
SI1,Surat,E,Very Good,6.64,6.71,4.09,61.3,58.0,4791,1.1
VS1,Kimberly,J,Very Good,5.71,5.73,3.59,62.8,58.0,2066,0.72
VS2,Antwerp,I,Good,5.73,5.78,3.23,56.1,65.0,1440,0.63
VS1,Las Vegas,E,Ideal,5.28,5.33,3.28,61.8,55.0,2010,0.56
VVS1,Paris,H,Ideal,5.33,5.28,3.2,60.3,56.0,1944,0.54
SI1,New York City,E,Very Good,4.78,4.73,3.0,63.1,57.0,904,0.41
VVS2,Antwerp,H,Ideal,4.9,4.86,2.99,61.3,56.0,1008,0.43
SI2,Las Vegas,H,Ideal,7.29,7.26,4.54,62.4,58.0,8471,1.5
VVS2,Tel Aviv,H,Ideal,5.79,5.77,3.52,60.9,57.0,2869,0.72
VVS1,Kimberly,F,Ideal,4.44,4.47,2.78,62.4,55.0,955,0.33
VS2,Zurich,D,Ideal,5.24,5.28,3.22,61.2,56.0,1725,0.54
VVS1,Kimberly,I,Ideal,4.38,4.34,2.72,62.4,55.0,756,0.32
SI1,London,E,Ideal,5.84,5.86,3.61,61.7,56.0,2964,0.75
VS1,Amsterdam,G,Ideal,6.02,6.05,3.75,62.1,55.0,4989,0.83
SI2,Amsterdam,F,Ideal,4.5,4.52,2.79,61.9,57.0,438,0.34
SI2,Dubai,F,Premium,5.34,5.26,3.34,63.0,56.0,1226,0.58
VVS2,Surat,G,Premium,6.73,6.68,4.12,61.4,58.0,8019,1.13
VS2,Surat,E,Very Good,6.26,6.3,3.79,60.4,59.0,4925,0.9
SI2,Zurich,H,Premium,6.81,6.74,4.03,59.5,57.0,4004,1.1
SI1,Surat,F,Very Good,4.47,4.52,2.73,60.9,54.0,588,0.33
VS2,Antwerp,D,Premium,7.37,7.3,4.53,61.8,60.0,15240,1.5
I1,Tel Aviv,I,Fair,6.61,6.51,4.34,66.2,55.0,3011,1.2
VS2,Paris,E,Ideal,5.21,5.24,3.22,61.6,59.0,1695,0.54
IF,Madrid,H,Ideal,4.87,4.91,3.02,62.0,57.0,1255,0.44
SI2,New York City,D,Premium,6.25,6.21,3.89,62.4,60.0,4096,0.92
SI2,Kimberly,I,Ideal,6.48,6.5,4.07,62.7,58.0,4591,1.06
VVS1,Tel Aviv,D,Ideal,5.54,5.56,3.43,61.8,54.0,4084,0.64
